date,game,description
2018-06-07,osrs,Theater of blood
2018-08-16,osrs,Duel Arena stake tax introduced
2018-10-30,osrs,Old School runescape released for mobile
2019-07-25,osrs,Prif release
2019-09-26,osrs,Fremennik exiles quest
2019-11-14,osrs,First league
2020-02-06,osrs,The nightmare boss
2020-06-04,osrs,Darkmeyer release
2020-06-25,osrs,Deaths office
2021-01-06,osrs,Soul wars
2021-03-24,osrs,Tempoross
2021-05-19,osrs,Clans
2021-07-21,osrs,Combat achievements
2021-10-06,osrs,Group ironman
2021-12-09,osrs,Ge tax of 1%
2022-02-23,osrs,Pvp loot keys
2022-03-14,osrs,Runelite and jagex launcher
2022-03-23,osrs,Guardians of the rift (rc minigame)
2022-07-13,osrs,Emirs arena
2022-08-24,osrs,Tombs of amascut
2022-10-19,osrs,Fsw started
2023-02-22,osrs,Osrs 10 year anniversary
2023-04-18,osrs,Fsw ended
2023-05-24,osrs,Bounty hunter store
2023-06-28,osrs,Forestry/woodcutting updates
2023-07-26,osrs,Desert treasure 2
2024-03-20,osrs,Varlamore
2024-03-20,osrs,Fortis Colosseum
2024-06-25,osrs,Bond price increase
2024-07-10,osrs,While guthix sleeps
